hugo_symbol,cancer,role
ABL1,PANCAN,NA
ACVR1,UCEC,oncogene
ACVR1B,PANCAN,tsg
ACVR2A,COADREAD,tsg
ACVR2A,LIHC,tsg
ACVR2A,PANCAN,tsg
AJUBA,PANCAN,tsg
AJUBA,HNSC,tsg
AKT1,CESC,oncogene
AKT1,PRAD,oncogene
AKT1,PANCAN,oncogene
AKT1,THCA,oncogene
AKT1,UCEC,oncogene
AKT1,BRCA,oncogene
ALB,LIHC,tsg
ALK,PANCAN,NA
AMER1,PANCAN,tsg
AMER1,COADREAD,tsg
APC,PRAD,tsg
APC,PANCAN,tsg
APC,STAD,tsg
APC,COADREAD,tsg
APOB,LIHC,tsg
AR,PANCAN,NA
ARAF,PANCAN,NA
ARHGAP35,LUSC,tsg
ARHGAP35,PANCAN,tsg
ARHGAP35,UCEC,tsg
ARID1A,ESCA,tsg
ARID1A,LUAD,tsg
ARID1A,LUSC,tsg
ARID1A,UCS,tsg
ARID1A,CHOL,NA
ARID1A,COADREAD,oncogene
ARID1A,CESC,tsg
ARID1A,LGG,tsg
ARID1A,PAAD,tsg
ARID1A,BLCA,tsg
ARID1A,BRCA,tsg
ARID1A,LIHC,tsg
ARID1A,PANCAN,tsg
ARID1A,UCEC,tsg
ARID1A,STAD,tsg
ARID2,HNSC,tsg
ARID2,LGG,tsg
ARID2,STAD,tsg
ARID2,LIHC,tsg
ARID2,PANCAN,tsg
ARID2,SKCM,tsg
ARID5B,UCEC,tsg
ASXL1,PANCAN,tsg
ASXL1,LAML,tsg
ASXL2,PANCAN,tsg
ASXL2,BLCA,tsg
ATF7IP,UCEC,tsg
ATF7IP,PANCAN,tsg
ATM,UCEC,tsg
ATM,BLCA,tsg
ATM,PANCAN,tsg
ATM,LUAD,tsg
ATM,KIRC,tsg
ATR,PANCAN,tsg
ATR,UCEC,tsg
ATRX,ACC,tsg
ATRX,GBM,tsg
ATRX,PANCAN,tsg
ATRX,SARC,tsg
ATRX,LGG,tsg
ATXN3,PANCAN,tsg
AXIN1,PANCAN,tsg
AXIN1,LIHC,tsg
AXIN2,PANCAN,tsg
B2M,PANCAN,tsg
B2M,DLBC,tsg
BAP1,KIRP,tsg
BAP1,PANCAN,tsg
BAP1,CHOL,tsg
BAP1,LIHC,tsg
BAP1,UVM,tsg
BAP1,MESO,tsg
BAP1,KIRC,tsg
BCL2,PANCAN,NA
BCL2L11,UCS,NA
BCOR,UCEC,oncogene
BCOR,STAD,tsg
BCOR,PANCAN,tsg
BRAF,PRAD,oncogene
BRAF,GBM,oncogene
BRAF,COADREAD,oncogene
BRAF,PANCAN,oncogene
BRAF,LUAD,oncogene
BRAF,SKCM,oncogene
BRAF,THCA,oncogene
BRCA1,OV,tsg
BRCA1,PANCAN,tsg
BRCA1,BRCA,tsg
BRCA2,PANCAN,tsg
BRD7,LIHC,tsg
BRD7,PANCAN,tsg
BRD7,SKCM,tsg
BTG2,DLBC,tsg
CACNA1A,PANCAN,oncogene
CARD11,DLBC,oncogene
CASP8,CESC,tsg
CASP8,STAD,tsg
CASP8,PANCAN,tsg
CASP8,BRCA,tsg
CASP8,HNSC,tsg
CBFB,PANCAN,tsg
CBFB,BRCA,tsg
CBWD3,PANCAN,NA
CCND1,PANCAN,oncogene
CCND1,UCEC,oncogene
CD70,DLBC,tsg
CD79B,DLBC,oncogene
CDH1,PANCAN,tsg
CDH1,STAD,oncogene
CDH1,BRCA,tsg
CDK12,OV,tsg
CDK12,PANCAN,tsg
CDK4,PANCAN,oncogene
CDK4,SKCM,oncogene
CDKN1A,LIHC,oncogene
CDKN1A,BLCA,tsg
CDKN1A,PANCAN,tsg
CDKN1B,BRCA,tsg
CDKN1B,PANCAN,tsg
CDKN2A,LIHC,tsg
CDKN2A,LUAD,tsg
CDKN2A,STAD,tsg
CDKN2A,BLCA,tsg
CDKN2A,ESCA,tsg
CDKN2A,PANCAN,tsg
CDKN2A,LUSC,tsg
CDKN2A,SKCM,tsg
CDKN2A,HNSC,tsg
CDKN2A,PAAD,tsg
CDKN2C,PANCAN,tsg
CEBPA,LAML,oncogene
CHD3,PANCAN,tsg
CHD3,UCEC,tsg
CHD4,BRCA,oncogene
CHD4,UCS,tsg
CHD4,UCEC,oncogene
CHD4,PANCAN,oncogene
CHD8,PANCAN,tsg
CHEK2,PANCAN,tsg
CIC,PANCAN,tsg
CIC,LGG,tsg
CNBD1,STAD,oncogene
COL5A1,SKCM,oncogene
CREB3L3,LIHC,tsg
CREBBP,BLCA,tsg
CREBBP,PANCAN,tsg
CSDE1,PCPG,tsg
CTCF,BRCA,tsg
CTCF,PANCAN,tsg
CTCF,UCEC,tsg
CTNNB1,BLCA,oncogene
CTNNB1,COADREAD,oncogene
CTNNB1,SKCM,oncogene
CTNNB1,PRAD,oncogene
CTNNB1,STAD,oncogene
CTNNB1,LUAD,oncogene
CTNNB1,PANCAN,oncogene
CTNNB1,UCEC,oncogene
CTNNB1,ACC,oncogene
CTNNB1,LIHC,oncogene
CTNND1,UCEC,tsg
CTNND1,PANCAN,tsg
CUL1,BLCA,oncogene
CUL1,PANCAN,oncogene
CUL3,HNSC,tsg
CUL3,LUSC,tsg
CUL3,PANCAN,tsg
CUL3,KIRP,tsg
CYLD,HNSC,tsg
CYSLTR2,UVM,oncogene
DACH1,SKCM,oncogene
DAZAP1,PANCAN,tsg
DDX3X,SKCM,tsg
DDX3X,PANCAN,tsg
DHX9,LIHC,oncogene
DIAPH2,BLCA,oncogene
DICER1,UCEC,oncogene
DMD,STAD,oncogene
DNMT3A,PANCAN,tsg
DNMT3A,THCA,tsg
DNMT3A,LAML,tsg
EEF1A1,PANCAN,oncogene
EEF1A1,LIHC,oncogene
EEF2,PAAD,tsg
EGFR,PANCAN,oncogene
EGFR,GBM,oncogene
EGFR,LUAD,oncogene
EGFR,LGG,oncogene
EGR3,PANCAN,NA
EIF1AX,PANCAN,oncogene
EIF1AX,THCA,oncogene
EIF1AX,UVM,oncogene
ELF3,PANCAN,tsg
ELF3,BLCA,tsg
EP300,UCEC,tsg
EP300,LUSC,oncogene
EP300,PANCAN,tsg
EP300,BLCA,tsg
EP300,HNSC,tsg
EP300,CESC,tsg
EPAS1,PCPG,oncogene
EPHA2,CHOL,tsg
EPHA2,PANCAN,tsg
EPHA2,HNSC,tsg
EPHA3,PANCAN,NA
ERBB2,ESCA,oncogene
