replicate_id,total_reads
HEL-311Cas9_RepA_p4_batch3,19938818
HEL9217-311Cas9_RepA_p6_batch3,41251611
LS513-311Cas9_RepA_p6_batch2,35176093
LS513_c903R1,67379131
OVR3_c905R1,32062618
253J-311Cas9_RepA_p5_batch3,55438365
C2BBE1-311Cas9 Rep A p5_batch3,42248180
C2BBe1_c903R1,56072332
HCC827-311Cas9 Rep A p6_batch3,70831579
Hs 294T_A101D-311Cas9_RepA_p6_batch3,46480579
NCI-H1581-311Cas9_RepA_p6_batch2,48378053
ONCO-DG-1-311Cas9_RepA_p6_batch3,42234721
MCF7-311cas9_RepA_p4_batch3,41493636
MCF7_c903R1,69491289
SKBR3-311Cas9_RepA_p6_batch3,22738069
T24-311Cas9_RepA_p6_batch3,80856925
NCI-H1693-311Cas9 Rep A p4_batch3,56792876
P8988T_c904R1,40807307
PA-TU-8988S_PA-TU-8988T-311cas9_RepAB_p6_batch3,39823401
CH157MN-311cas9_RepA_p6_batch3,43870914
OPM2-311Cas9_RepA_p6_batch3,40871133
OPM2_c907R4,33879032
HCC827GR5-311Cas9_RepA_p5_batch3,32863458
KPL-1-311Cas9_RepA_p6_batch2,46284479
PC-14-311Cas9 Rep A p6_batch3,94020868
PC14_c906R1,30622130
H1650_c906R1,37127199
NCI-H1650-311cas9_RepA_p6_batch3,40714150
S-117-311Cs9_RepA_p6_batch3,30663550
U343-311Cas9_RepA_p6_batch3,35940479
P0203_c904R2,42583238
Panc.02.03-311cas9 Rep A p6_batch3,45335424
RD-ES-311Cas9_RepA_p6_batch3,40792383
SK-N-MC-311cas9 Rep A p5_batch3,43294255
U118MG-311Cas9_RepA_p5_batch3,44240971
GCIY -311Cas9_RepA_p4_batch3,55334295
MV4;11-311Cas9_RepA_p6_batch2,17011970
TOV112D-311Cas9_RepA_p6_batch3,68414997
TOV112_c905R1,38834056
A673 AVANA-4_RepA_p6_batch3,42123785
Karpas-299-311Cas9 Rep A p5_batch3,38444082
D283MED-311cas9_RepA_p6_batch2,57495175
HT1080 -311Cas9_RepA_p6_batch3,49524902
P1005_c904R1,43855365
PANC1005-311Cas9_RepA_p6_batch3,42067110
697-311CAS9_RepA_p6_batch3,69923178
HS683-311Cas9_RepA_p6_batch3,42322582
Hs683_c907R1,41525472
KU812-311cas9-RepA-p6_batch3,20114610
NCO2-311cas9_RepA_p5_batch3,54373481
U87-MG-311Cas9_RepA_p6_batch3,29604913
U87MG_c907R1,33868760
ACCMES01-311cas9_RepA_p6_batch3,23402397
"G-292, Clone A141B1-311Cas9_RepA_p5_batch3",28072934
MHH-NB-11-311Cas9 Rep A p4_batch3,101098499
T3M-4-311Cas9_RepA_p6_batch3,69733357
HPAFII_c904R1,44842915
NCI-H2452-311Cas9_RepA_p5_batch3,37681229
PANC0504-311cas9-RepA-p6_batch4,37664114
SK-ES-1-311Cas9_RepA_p5_batch3,40908981
D341MED-311cas9 Rep A p5_batch3,50836412
G-401-311Cas9_RepA_p6_batch2,42834052
ZR-75-1-311Cas9_RepA_p5_batch2,49107597
GAMG-311Cas9_RepA_p6_batch3,32436252
GAMG_c907R1,28675442
KE37-311Cas9-RepA-p6_batch4,39699463
Sima-311cas9 Rep A p6_batch3,35112321
Caov4_c905R1,30537972
KP-3-311Cas9 Rep A p5_batch3,45678309
KP3_c904R1,47794077
AML2_c905R1,35861646
HCC1187-311Cas9_RepA_p6_batch3,15413193
HCC118_c903R1,36714906
OCI-AML2-311cas9_RepA_p6_batch3,41608679
OAW28-311Cas9_RepA_p4_batch3,45309616
SU8686-311Cas9-RepA-p6_batch3,42867412
SU8686_c904R1,34421080
Vcap-304Cas9_RepA_p4_batch3,29321888
CHP-212-311CAS9 Rep A p5_batch3,45462767
CHP212_c906R2,29076095
HUP-T3-311cas9 Rep A p6_batch3,55004217
HuPT3_c904R1,39269703
COV434-311cas9 Rep A p6_batch3,69609763
LY19_c907R1,34989968
SLR20-311Cas9_RepA_p6_batch3,38007974
JHOS-2-311Cas9_RepA_p6_batch3,15035254
JHOS2_c905R1,28904954
LN319-311CAS9_RepA_p6_batch3,35134293
8-MG-BA-311Cas9_RepA_p5_batch3,19185332
8MGBA_c907R1,30517814
CFPAC-1-311Cas9 Rep A p6_batch3,48923673
Hs729-311Cas9_RepA_p6_batch3,22103961
CAL-29-311Cas9_RepA_p6_batch2,62929355
P0327_c904R1,37124069
SNU308-311Cas9_RepA_p5_batch3,39750173
GC1B_C908R2,56172491
HCC2429-311Cas9_RepA_p6_batch3,48408431
T47D-311Cas9-RepA-p6_batch4,38492881
T47d_c903R2,26781598
THP-1 AVANA-4 Rep A p5_batch3,91106238
HS578T-311cas9_RepA_p5_batch2,61131810
Hs578T_c904R1,45827798
SKNSH_c906R1,31718202
HCC2935-311CAS9_RepA_p6_batch3,19377756
JM1-311cas9_RepA_p6_batch3,35984820
M059K-311Cas9_RepA_p5_batch3,49696253
BT-12-311Cas9_RepA_p6_batch3,25501963
NCI-H2052-311Cas9_RepA_p6_batch3,26613638
OSRC2-311Cas9_RepA_p5_batch3,33800039
SW1990_c904R1,36505451
CORL105-311Cas9-RepA-p6_batch4,37756658
KE97-311Cas9_RepA_p6_batch3,42511833
Panc1-311Cas9_RepA_p6_batch3,44043623
SW579-311Cas9_RepA_p6_batch3,28597589
CAL62-311cas9-RepA-p6_batch3,53990439
NOMO-1-311Cas9_RepA_p4_batch2,58916027
RD-311Cas9_RepA_p5_batch3,62346558
TM87-311Cas9_RepA_p6_batch4,37151739
